environment: line 10: __conda_exe: command not found
# conda environments:
#
torch_env             *  /home/DAVIDSON/alalkadhim.visitor/.conda/envs/torch_env
base                     /home/DAVIDSON/alalkadhim.visitor/software/miniconda3

[32m[I 2022-11-07 19:06:17,044][0m A new study created in memory with name: no-name-9a08a286-5e23-461e-b80e-a949c4f5a7ec[0m
[32m[I 2022-11-07 19:06:56,501][0m Trial 0 finished with value: 0.001854395212722072 and parameters: {'nlayers': 19, 'hidden_size': 293, 'dropout': 0.4350600528096148, 'learning_rate': 0.009639784133365449, 'batch_size': 9547, 'optimizer_name': 'Adam'}. Best is trial 0 with value: 0.001854395212722072.[0m
[32m[I 2022-11-07 19:07:16,126][0m Trial 1 finished with value: 0.005321113335793428 and parameters: {'nlayers': 51, 'hidden_size': 217, 'dropout': 0.40585488139734605, 'learning_rate': 0.003388887012984197, 'batch_size': 3338, 'optimizer_name': 'RMSprop'}. Best is trial 0 with value: 0.001854395212722072.[0m
[32m[I 2022-11-07 19:07:50,046][0m Trial 2 finished with value: 0.002088484762410006 and parameters: {'nlayers': 74, 'hidden_size': 67, 'dropout': 0.12842540271450958, 'learning_rate': 0.0030947883581644966, 'batch_size': 8469, 'optimizer_name': 'Adam'}. Best is trial 0 with value: 0.001854395212722072.[0m
[32m[I 2022-11-07 19:08:24,446][0m Trial 3 finished with value: 0.00362457019094301 and parameters: {'nlayers': 46, 'hidden_size': 286, 'dropout': 0.21530016909599603, 'learning_rate': 0.003171962766374863, 'batch_size': 4901, 'optimizer_name': 'RMSprop'}. Best is trial 0 with value: 0.001854395212722072.[0m
[32m[I 2022-11-07 19:08:51,809][0m Trial 4 finished with value: 0.0031807567941477153 and parameters: {'nlayers': 42, 'hidden_size': 232, 'dropout': 0.10696161972082625, 'learning_rate': 0.005127890788232082, 'batch_size': 5626, 'optimizer_name': 'SGD'}. Best is trial 0 with value: 0.001854395212722072.[0m
[32m[I 2022-11-07 19:09:10,517][0m Trial 5 finished with value: 0.003677975839477894 and parameters: {'nlayers': 27, 'hidden_size': 251, 'dropout': 0.4876263225012162, 'learning_rate': 0.006436936147439698, 'batch_size': 4818, 'optimizer_name': 'Adam'}. Best is trial 0 with value: 0.001854395212722072.[0m
[32m[I 2022-11-07 19:09:24,444][0m Trial 6 finished with value: 0.003580026973889569 and parameters: {'nlayers': 84, 'hidden_size': 15, 'dropout': 0.4092386033987351, 'learning_rate': 0.0027716006174253777, 'batch_size': 4953, 'optimizer_name': 'Adam'}. Best is trial 0 with value: 0.001854395212722072.[0m
[32m[I 2022-11-07 19:09:50,807][0m Trial 7 finished with value: 0.003241223811534149 and parameters: {'nlayers': 29, 'hidden_size': 295, 'dropout': 0.36580430813183085, 'learning_rate': 0.009293056933231568, 'batch_size': 5446, 'optimizer_name': 'Adam'}. Best is trial 0 with value: 0.001854395212722072.[0m
[32m[I 2022-11-07 19:10:07,315][0m Trial 8 finished with value: 0.0052764437204998625 and parameters: {'nlayers': 62, 'hidden_size': 151, 'dropout': 0.4274888225256823, 'learning_rate': 0.00659145582490361, 'batch_size': 3374, 'optimizer_name': 'RMSprop'}. Best is trial 0 with value: 0.001854395212722072.[0m
[32m[I 2022-11-07 19:11:06,639][0m Trial 9 finished with value: 0.0027893337247958732 and parameters: {'nlayers': 73, 'hidden_size': 253, 'dropout': 0.3569536764120246, 'learning_rate': 0.008765742303097951, 'batch_size': 6368, 'optimizer_name': 'Adam'}. Best is trial 0 with value: 0.001854395212722072.[0m
[32m[I 2022-11-07 19:11:06,821][0m Trial 10 finished with value: 0.12463178122654939 and parameters: {'nlayers': 1, 'hidden_size': 152, 'dropout': 0.2684356192877677, 'learning_rate': 2.7674998610962252e-05, 'batch_size': 156, 'optimizer_name': 'SGD'}. Best is trial 0 with value: 0.001854395212722072.[0m
